"service_id","date","exception_type"
"E56DED0C","20240906","1"
"E56DED0C","20240909","1"
"E56DED0C","20240910","1"
"E56DED0C","20240911","1"
"E56DED0C","20240912","1"
"E56DED0C","20240913","1"
"E56DED0C","20240916","1"
"E56DED0C","20240917","1"
"E56DED0C","20240918","1"
"E56DED0C","20240919","1"
"E56DED0C","20240920","1"
"E56DED0C","20240923","1"
"E56DED0C","20240924","1"
"E56DED0C","20240925","1"
"E56DED0C","20240926","1"
"E56DED0C","20240927","1"
"E56DED0C","20240930","1"
"E56DED0C","20241001","1"
"E56DED0C","20241002","1"
"E56DED0C","20241003","1"
"E56DED0C","20241004","1"
"E56DED0C","20241007","1"
"E56DED0C","20241008","1"
"E56DED0C","20241009","1"
"E56DED0C","20241010","1"
"E56DED0C","20241011","1"
"E56DED0C","20241014","1"
"E56DED0C","20241015","1"
"E56DED0C","20241016","1"
"E56DED0C","20241017","1"
"E56DED0C","20241018","1"
"E56DED0C","20241021","1"
"E56DED0C","20241022","1"
"E56DED0C","20241023","1"
"E56DED0C","20241024","1"
"E56DED0C","20241025","1"
"E56DED0C","20241028","1"
"E56DED0C","20241029","1"
"E56DED0C","20241030","1"
"E56DED0C","20241031","1"
"E56DED0C","20241101","1"
"E56DED0C","20241104","1"
"E56DED0C","20241105","1"
"E56DED0C","20241106","1"
"E56DED0C","20241107","1"
"E56DED0C","20241108","1"
"B9460996","20240907","1"
"B9460996","20240908","1"
"B9460996","20240914","1"
"B9460996","20240915","1"
"B9460996","20240921","1"
"B9460996","20240922","1"
"B9460996","20240928","1"
"B9460996","20240929","1"
"B9460996","20241005","1"
"B9460996","20241006","1"
"B9460996","20241012","1"
"B9460996","20241013","1"
"B9460996","20241019","1"
"B9460996","20241020","1"
"B9460996","20241026","1"
"B9460996","20241027","1"
"B9460996","20241102","1"
"B9460996","20241103","1"
"B9460996","20241109","1"
"B9460996","20241110","1"
"1ABED0D6","20240906","1"
"1ABED0D6","20240910","1"
"1ABED0D6","20240911","1"
"1ABED0D6","20240912","1"
"1ABED0D6","20240913","1"
"1ABED0D6","20240917","1"
"1ABED0D6","20240918","1"
"1ABED0D6","20240919","1"
"1ABED0D6","20240920","1"
"1ABED0D6","20240924","1"
"1ABED0D6","20240925","1"
"1ABED0D6","20240926","1"
"1ABED0D6","20240927","1"
"1ABED0D6","20241001","1"
"1ABED0D6","20241002","1"
"1ABED0D6","20241003","1"
"1ABED0D6","20241004","1"
"1ABED0D6","20241008","1"
"1ABED0D6","20241009","1"
"1ABED0D6","20241010","1"
"1ABED0D6","20241011","1"
"1ABED0D6","20241015","1"
"1ABED0D6","20241016","1"
"1ABED0D6","20241017","1"
"1ABED0D6","20241018","1"
"1ABED0D6","20241022","1"
"1ABED0D6","20241023","1"
"1ABED0D6","20241024","1"
"1ABED0D6","20241025","1"
"1ABED0D6","20241029","1"
"1ABED0D6","20241030","1"
"1ABED0D6","20241031","1"
"1ABED0D6","20241101","1"
"1ABED0D6","20241105","1"
"1ABED0D6","20241106","1"
"1ABED0D6","20241107","1"
"1ABED0D6","20241108","1"
"C880A939","20240906","1"
"C880A939","20240913","1"
"C880A939","20240920","1"
"C880A939","20240927","1"
"C880A939","20241004","1"
"C880A939","20241011","1"
"C880A939","20241018","1"
"C880A939","20241025","1"
"C880A939","20241101","1"
"C880A939","20241108","1"
"F1E070B6","20240909","1"
"F1E070B6","20240910","1"
"F1E070B6","20240911","1"
"F1E070B6","20240912","1"
"F1E070B6","20240916","1"
"F1E070B6","20240917","1"
"F1E070B6","20240918","1"
"F1E070B6","20240919","1"
"F1E070B6","20240923","1"
"F1E070B6","20240924","1"
"F1E070B6","20240925","1"
"F1E070B6","20240926","1"
"F1E070B6","20240930","1"
"F1E070B6","20241001","1"
"F1E070B6","20241002","1"
"F1E070B6","20241003","1"
"F1E070B6","20241007","1"
"F1E070B6","20241008","1"
"F1E070B6","20241009","1"
"F1E070B6","20241010","1"
